nucleus,Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,Unnamed: 17,Unnamed: 18,Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col12,Col13
ABpl,Intensity Max,180,180,180,0,180,180,180,180,1,,Surface,2,,Image 1,,27,,,,,,,,,,,,,,
ABpl,Intensity Max,317,317,317,0,317,317,317,317,1,,Surface,2,,Image 1,,28,,,,,,,,,,,,,,
ABpl,Intensity Max,285,285,285,0,285,285,285,285,1,,Surface,2,,Image 1,,29,,,,,,,,,,,,,,
ABpl,Intensity Max,380,380,380,0,380,380,380,380,1,,Surface,2,,Image 1,,30,,,,,,,,,,,,,,
ABpl,Intensity Max,308,308,308,0,308,308,308,308,1,,Surface,2,,Image 1,,31,,,,,,,,,,,,,,
ABpl,Intensity Max,418,418,418,0,418,418,418,418,1,,Surface,2,,Image 1,,32,,,,,,,,,,,,,,
ABpl,Intensity Max,896,896,896,0,896,896,896,896,1,,Surface,2,,Image 1,,33,,,,,,,,,,,,,,
ABpl,Intensity Max,1715,1715,1715,0,1715,1715,1715,1715,1,,Surface,2,,Image 1,,34,,,,,,,,,,,,,,
ABpl,Intensity Max,3212,3212,3212,0,3212,3212,3212,3212,1,,Surface,2,,Image 1,,35,,,,,,,,,,,,,,
ABpl,Intensity Max,3600,3600,3600,0,3600,3600,3600,3600,1,,Surface,2,,Image 1,,36,,,,,,,,,,,,,,
ABpl,Intensity Max,2148,2148,2148,0,2148,2148,2148,2148,1,,Surface,2,,Image 1,,37,,,,,,,,,,,,,,
ABpl,Intensity Max,1675,1675,1675,0,1675,1675,1675,1675,1,,Surface,2,,Image 1,,38,,,,,,,,,,,,,,
ABar,Intensity Max,194,194,194,0,194,194,194,194,1,,Surface,2,,Image 1,,27,,,,,,,,,,,,,,
ABar,Intensity Max,219,219,219,0,219,219,219,219,1,,Surface,2,,Image 1,,28,,,,,,,,,,,,,,
ABar,Intensity Max,232,232,232,0,232,232,232,232,1,,Surface,2,,Image 1,,29,,,,,,,,,,,,,,
ABar,Intensity Max,214,214,214,0,214,214,214,214,1,,Surface,2,,Image 1,,30,,,,,,,,,,,,,,
ABar,Intensity Max,193,193,193,0,193,193,193,193,1,,Surface,2,,Image 1,,31,,,,,,,,,,,,,,
ABar,Intensity Max,227,227,227,0,227,227,227,227,1,,Surface,2,,Image 1,,32,,,,,,,,,,,,,,
ABar,Intensity Max,319,319,319,0,319,319,319,319,1,,Surface,2,,Image 1,,33,,,,,,,,,,,,,,
ABar,Intensity Max,427,427,427,0,427,427,427,427,1,,Surface,2,,Image 1,,34,,,,,,,,,,,,,,
ABar,Intensity Max,383,383,383,0,383,383,383,383,1,,Surface,2,,Image 1,,35,,,,,,,,,,,,,,
ABar,Intensity Max,323,323,323,0,323,323,323,323,1,,Surface,2,,Image 1,,36,,,,,,,,,,,,,,
ABar,Intensity Max,355,355,355,0,355,355,355,355,1,,Surface,2,,Image 1,,37,,,,,,,,,,,,,,
ABar,Intensity Max,263,263,263,0,263,263,263,263,1,,Surface,2,,Image 1,,38,,,,,,,,,,,,,,
ABpr,Intensity Max,191,191,191,0,191,191,191,191,1,,Surface,2,,Image 1,,27,,,,,,,,,,,,,,
ABpr,Intensity Max,265,265,265,0,265,265,265,265,1,,Surface,2,,Image 1,,28,,,,,,,,,,,,,,
ABpr,Intensity Max,235,235,235,0,235,235,235,235,1,,Surface,2,,Image 1,,29,,,,,,,,,,,,,,
ABpr,Intensity Max,215,215,215,0,215,215,215,215,1,,Surface,2,,Image 1,,30,,,,,,,,,,,,,,
ABpr,Intensity Max,257,257,257,0,257,257,257,257,1,,Surface,2,,Image 1,,31,,,,,,,,,,,,,,
ABpr,Intensity Max,247,247,247,0,247,247,247,247,1,,Surface,2,,Image 1,,32,,,,,,,,,,,,,,
ABpr,Intensity Max,576,576,576,0,576,576,576,576,1,,Surface,2,,Image 1,,33,,,,,,,,,,,,,,
ABpr,Intensity Max,499,499,499,0,499,499,499,499,1,,Surface,2,,Image 1,,34,,,,,,,,,,,,,,
ABpr,Intensity Max,539,539,539,0,539,539,539,539,1,,Surface,2,,Image 1,,35,,,,,,,,,,,,,,
ABpr,Intensity Max,612,612,612,0,612,612,612,612,1,,Surface,2,,Image 1,,36,,,,,,,,,,,,,,
ABpr,Intensity Max,562,562,562,0,562,562,562,562,1,,Surface,2,,Image 1,,37,,,,,,,,,,,,,,
ABpr,Intensity Max,474,474,474,0,474,474,474,474,1,,Surface,2,,Image 1,,38,,,,,,,,,,,,,,
ABpr,Intensity Max,224,224,224,0,224,224,224,224,1,,Surface,2,,Image 1,,39,,,,,,,,,,,,,,
