Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Surfaces,Time
Distance from Origin,13009.488,13035.099,13023.215,10.059,13018.538,13018.32,13034.633,65116.074,5,µm,Surface,,,Distance from Origin,,,40
Distance from Origin,13009.58,13035.432,13023.422,10.102,13018.706,13018.602,13034.789,65117.109,5,µm,Surface,,,Distance from Origin,,,41
Distance from Origin,13009.174,13034.26,13020.371,8.979,13019.025,13016.152,13023.242,52081.484,4,µm,Surface,,,Distance from Origin,,,42
Distance from Origin,13009.396,13035.725,13023.469,9.953,13020.355,13018.023,13033.852,65117.344,5,µm,Surface,,,Distance from Origin,,,43
Distance from Origin,13009.664,13039.084,13025.777,10.412,13026.802,13018.594,13034.043,78154.664,6,µm,Surface,,,Distance from Origin,,,44
Distance from Origin,13009.627,13036.257,13023.573,9.962,13020.777,13017.711,13033.508,65117.867,5,µm,Surface,,,Distance from Origin,,,45
Distance from Origin,13009.746,13039.413,13025.499,10.352,13026.989,13017.922,13032.957,78152.992,6,µm,Surface,,,Distance from Origin,,,46
Distance from Origin,13032.538,13039.521,13034.891,3.274,13032.613,13032.576,13036.068,39104.672,3,µm,Surface,,,Distance from Origin,,,47
Distance from Origin,13021.807,13039.068,13031.368,6.176,13032.299,13029.48,13034.184,52125.473,4,µm,Surface,,,Distance from Origin,,,48
Distance from Origin,13031.948,13039.001,13034.362,3.281,13032.138,13032.043,13035.57,39103.086,3,µm,Surface,,,Distance from Origin,,,49
Distance from Origin,13021.766,13038.751,13031.184,6.083,13032.107,13029.215,13034.082,52124.734,4,µm,Surface,,,Distance from Origin,,,50
Distance from Origin,13021.792,13038.966,13031.07,6.112,13031.762,13029.16,13033.676,52124.281,4,µm,Surface,,,Distance from Origin,,,51
Distance from Origin,13022.29,13039.417,13031.324,6.074,13031.796,13029.344,13033.777,52125.297,4,µm,Surface,,,Distance from Origin,,,52
Distance from Origin,13011.999,13039.571,13024.608,9.307,13023.223,13016.984,13031.75,91172.266,7,µm,Surface,,,Distance from Origin,,,53
Distance from Origin,13012.283,13039.98,13027.37,9.743,13031.659,13019.547,13034.289,91191.594,7,µm,Surface,,,Distance from Origin,,,54
Distance from Origin,13012.3,13040.197,13024.829,10.006,13023.42,13016.117,13032.227,117223.461,9,µm,Surface,,,Distance from Origin,,,55
Distance from Origin,13012.63,13040.113,13024.047,10.044,13020.859,13015.738,13033.082,104192.375,8,µm,Surface,,,Distance from Origin,,,56
Distance from Origin,13012.552,13040.038,13025.087,9.662,13023.637,13016.539,13032.664,117225.781,9,µm,Surface,,,Distance from Origin,,,57
Distance from Origin,13012.516,13040.337,13025.214,9.617,13023.819,13016.242,13032.43,117226.922,9,µm,Surface,,,Distance from Origin,,,58
Distance from Origin,13012.466,13040.139,13025.258,9.554,13024.067,13016.008,13031.852,117227.32,9,µm,Surface,,,Distance from Origin,,,59
Distance from Origin,13012.241,13039.712,13025.221,9.609,13024.314,13015.305,13031.461,117226.984,9,µm,Surface,,,Distance from Origin,,,60
Distance from Origin,13011.866,13039.542,13025.336,10.393,13025.938,13014.867,13033.273,104202.688,8,µm,Surface,,,Distance from Origin,,,61
Distance from Origin,13011.229,13039.398,13025.299,10.679,13026.082,13014.602,13033.555,104202.391,8,µm,Surface,,,Distance from Origin,,,62
Distance from Origin,13010.801,13039.48,13025.176,10.918,13025.955,13014.328,13033.508,104201.406,8,µm,Surface,,,Distance from Origin,,,63
Distance from Origin,13010.429,13040.123,13025.146,11.039,13025.854,13014.32,13033.52,104201.172,8,µm,Surface,,,Distance from Origin,,,64
Distance from Origin,13010.271,13040.423,13025.094,11.1,13025.854,13014.199,13033.43,104200.75,8,µm,Surface,,,Distance from Origin,,,65
