nucleus,Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,Unnamed: 17
P3,Intensity Max,254,254,254,0,254,254,254,254,1,,Surface,1,,Image 1,,38,
P3,Intensity Max,276,276,276,0,276,276,276,276,1,,Surface,1,,Image 1,,39,
P3,Intensity Max,257,257,257,0,257,257,257,257,1,,Surface,1,,Image 1,,40,
P3,Intensity Max,310,310,310,0,310,310,310,310,1,,Surface,1,,Image 1,,41,
P3,Intensity Max,304,304,304,0,304,304,304,304,1,,Surface,1,,Image 1,,42,
P3,Intensity Max,312,312,312,0,312,312,312,312,1,,Surface,1,,Image 1,,43,
P3,Intensity Max,275,275,275,0,275,275,275,275,1,,Surface,1,,Image 1,,44,
P3,Intensity Max,251,251,251,0,251,251,251,251,1,,Surface,1,,Image 1,,45,
P3,Intensity Max,248,248,248,0,248,248,248,248,1,,Surface,1,,Image 1,,46,
P3,Intensity Max,249,249,249,0,249,249,249,249,1,,Surface,1,,Image 1,,47,
P3,Intensity Max,243,243,243,0,243,243,243,243,1,,Surface,1,,Image 1,,48,
P3,Intensity Max,290,290,290,0,290,290,290,290,1,,Surface,1,,Image 1,,49,
P3,Intensity Max,233,233,233,0,233,233,233,233,1,,Surface,1,,Image 1,,50,
P3,Intensity Max,267,267,267,0,267,267,267,267,1,,Surface,1,,Image 1,,51,
P3,Intensity Max,276,276,276,0,276,276,276,276,1,,Surface,1,,Image 1,,52,
P3,Intensity Max,247,247,247,0,247,247,247,247,1,,Surface,1,,Image 1,,53,
P3,Intensity Max,315,315,315,0,315,315,315,315,1,,Surface,1,,Image 1,,54,
P3,Intensity Max,296,296,296,0,296,296,296,296,1,,Surface,1,,Image 1,,55,
P3,Intensity Max,272,272,272,0,272,272,272,272,1,,Surface,1,,Image 1,,56,
P3,Intensity Max,275,275,275,0,275,275,275,275,1,,Surface,1,,Image 1,,57,
P3,Intensity Max,263,263,263,0,263,263,263,263,1,,Surface,1,,Image 1,,58,
P3,Intensity Max,280,280,280,0,280,280,280,280,1,,Surface,1,,Image 1,,59,
